mA,V,time
-0.2,0.06,1581631154.5018115
-0.2,0.06,1581631154.5673716
-0.1,0.06,1581631154.633179
-0.2,0.06,1581631154.6988263
-0.2,0.06,1581631154.7646906
-0.2,0.06,1581631154.8315375
-0.2,0.06,1581631154.8972757
-0.2,0.06,1581631154.9639313
-0.2,0.06,1581631155.030089
-0.2,0.06,1581631155.0959954
-0.2,0.06,1581631155.1616428
-0.1,0.06,1581631155.2268705
-0.1,0.06,1581631155.2924905
-0.2,0.06,1581631155.3584049
-0.2,0.06,1581631155.4241529
-0.2,0.06,1581631155.490436
-0.2,0.06,1581631155.5561287
-0.1,0.06,1581631155.6218128
-0.2,0.06,1581631155.6874962
-0.2,0.06,1581631155.752551
-0.2,0.06,1581631155.8182387
-0.2,0.06,1581631155.8841975
-0.2,0.06,1581631155.949501
-0.2,0.06,1581631156.0153117
-0.1,0.06,1581631156.0809746
-0.2,0.06,1581631156.1468253
-0.2,0.06,1581631156.2132697
-0.2,0.06,1581631156.2790203
-0.1,0.06,1581631156.3448653
-0.2,0.06,1581631156.4111273
-0.2,0.06,1581631156.4759796
-0.2,0.06,1581631156.541769
-0.2,0.06,1581631156.6075575
-0.2,0.06,1581631156.6727388
-0.2,0.06,1581631156.7387352
-0.2,0.06,1581631156.804519
-0.1,0.06,1581631156.8702242
-0.2,0.06,1581631156.9355147
-0.1,0.06,1581631157.001327
-0.2,0.06,1581631157.0671856
-0.2,0.06,1581631157.1335475
-0.1,0.06,1581631157.199132
-0.2,0.06,1581631157.2650938
-0.2,0.06,1581631157.3308141
-0.1,0.06,1581631157.3958986
-0.1,0.06,1581631157.461739
-0.2,0.06,1581631157.5275202
-0.2,0.06,1581631157.593411
-0.2,0.06,1581631157.6587882
-0.2,0.06,1581631157.7245874
-0.2,0.06,1581631157.7902298
-0.2,0.06,1581631157.855896
-0.2,0.06,1581631157.921429
-0.2,0.06,1581631157.9872365
-0.2,0.06,1581631158.053033
-0.2,0.06,1581631158.1194563
-0.2,0.06,1581631158.1852114
-0.2,0.06,1581631158.2510111
-0.2,0.06,1581631158.3163428
-0.2,0.06,1581631158.3820662
-0.2,0.06,1581631158.448028
-0.2,0.06,1581631158.5138988
-0.1,0.06,1581631158.5791233
-0.2,0.06,1581631158.6449478
-0.2,0.06,1581631158.7109034
-0.1,0.06,1581631158.7768154
-0.2,0.06,1581631158.8420577
-0.2,0.06,1581631158.9079914
-0.2,0.06,1581631158.9739864
-0.2,0.06,1581631159.0390337
-0.2,0.06,1581631159.1050713
-0.2,0.06,1581631159.1708314
-0.1,0.06,1581631159.2368062
-0.1,0.06,1581631159.3018804
-0.1,0.06,1581631159.367882
-0.2,0.06,1581631159.433689
