mA,V,time
-0.4,0.06,1581628775.6741068
-0.1,0.06,1581628775.7398224
-0.1,0.06,1581628775.8052473
-0.1,0.06,1581628775.871008
-0.1,0.06,1581628775.936949
-0.1,0.06,1581628776.0025618
-0.2,0.06,1581628776.069826
-0.2,0.06,1581628776.136285
-0.2,0.06,1581628776.2018628
-0.2,0.06,1581628776.2675261
-0.2,0.06,1581628776.333996
-0.1,0.06,1581628776.3997145
-0.2,0.06,1581628776.46441
-0.2,0.06,1581628776.5311165
-0.2,0.06,1581628776.5963113
-0.1,0.06,1581628776.6621337
-0.2,0.06,1581628776.7279816
-0.2,0.06,1581628776.7937248
-0.2,0.06,1581628776.8589864
-0.2,0.06,1581628776.9248674
-0.1,0.06,1581628776.990355
-0.1,0.06,1581628777.0565088
-0.2,0.06,1581628777.1221726
-0.1,0.06,1581628777.1878533
-0.2,0.06,1581628777.2533991
-0.1,0.06,1581628777.3194983
-0.2,0.06,1581628777.3851743
-0.2,0.06,1581628777.4509513
-0.1,0.06,1581628777.5168245
-0.2,0.06,1581628777.5819914
-0.1,0.06,1581628777.6477487
-0.2,0.06,1581628777.7139146
-0.2,0.06,1581628777.7790303
-0.1,0.06,1581628777.8450606
-0.2,0.06,1581628777.910772
-0.2,0.06,1581628777.976653
-0.2,0.06,1581628778.0429251
-0.2,0.06,1581628778.1087546
-0.2,0.06,1581628778.1734364
-0.2,0.06,1581628778.2397544
-0.2,0.06,1581628778.3056026
-0.2,0.06,1581628778.3714325
-0.2,0.06,1581628778.4371946
-0.2,0.06,1581628778.502384
-0.2,0.06,1581628778.5683284
-0.1,0.06,1581628778.6341753
-0.2,0.06,1581628778.699859
-0.1,0.06,1581628778.7651768
-0.2,0.06,1581628778.830906
-0.2,0.06,1581628778.8968067
-0.2,0.06,1581628778.9630792
-0.2,0.06,1581628779.0288196
-0.1,0.06,1581628779.0945876
-0.2,0.06,1581628779.1605
-0.2,0.06,1581628779.2257454
-0.1,0.06,1581628779.29132
-0.2,0.06,1581628779.3571167
-0.2,0.06,1581628779.422904
-0.1,0.06,1581628779.4882143
-0.2,0.06,1581628779.554107
-0.1,0.06,1581628779.619822
-0.1,0.06,1581628779.6863513
-0.2,0.06,1581628779.7510672
-0.2,0.06,1581628779.8169026
-0.1,0.06,1581628779.8827193
-0.1,0.06,1581628779.949072
-0.2,0.06,1581628780.0150716
-0.2,0.06,1581628780.0807617
-0.1,0.06,1581628780.1459172
-0.1,0.06,1581628780.2117114
-0.2,0.06,1581628780.2775497
-0.2,0.06,1581628780.34349
-0.2,0.06,1581628780.4085524
-0.2,0.06,1581628780.47438
-0.1,0.06,1581628780.5400488
-0.1,0.06,1581628780.6059477
