mA,V,time
-0.1,0.06,1581621585.1770115
-0.1,0.06,1581621585.2421618
-0.2,0.06,1581621585.308105
-0.1,0.06,1581621585.3735871
-0.1,0.06,1581621585.4392939
-0.2,0.06,1581621585.5052977
-0.2,0.06,1581621585.5710144
-0.1,0.06,1581621585.6375735
-0.2,0.06,1581621585.704419
-0.1,0.06,1581621585.7701478
-0.2,0.06,1581621585.8360963
-0.2,0.06,1581621585.902187
-0.2,0.06,1581621585.9674952
-0.2,0.06,1581621586.0334752
-0.2,0.06,1581621586.099286
-0.2,0.06,1581621586.1652458
-0.2,0.06,1581621586.230681
-0.2,0.06,1581621586.2965045
-0.1,0.06,1581621586.3621755
-0.2,0.06,1581621586.4274902
-0.1,0.06,1581621586.4936702
-0.2,0.06,1581621586.559474
-0.2,0.06,1581621586.6253023
-0.2,0.06,1581621586.6906908
-0.1,0.06,1581621586.7567074
-0.2,0.06,1581621586.8225746
-0.2,0.06,1581621586.8879807
-0.2,0.06,1581621586.9538915
-0.2,0.06,1581621587.0197928
-0.2,0.06,1581621587.0846512
-0.2,0.06,1581621587.150992
-0.2,0.06,1581621587.2168732
-0.2,0.06,1581621587.2826812
-0.2,0.06,1581621587.347549
-0.1,0.06,1581621587.4142063
-0.2,0.06,1581621587.4799855
-0.1,0.06,1581621587.5448751
-0.2,0.06,1581621587.6114118
-0.2,0.06,1581621587.6763897
-0.2,0.06,1581621587.7422533
-0.2,0.06,1581621587.8080688
-0.1,0.06,1581621587.8732705
-0.1,0.06,1581621587.9391844
-0.1,0.06,1581621588.0051594
-0.2,0.06,1581621588.0709786
-0.2,0.06,1581621588.1363993
-0.2,0.06,1581621588.2023275
-0.2,0.06,1581621588.2683752
-0.2,0.06,1581621588.3337736
-0.2,0.06,1581621588.3998337
-0.2,0.06,1581621588.4656937
-0.1,0.06,1581621588.5306406
-0.1,0.06,1581621588.5972097
-0.1,0.06,1581621588.6631362
-0.2,0.06,1581621588.727923
-0.2,0.06,1581621588.7944884
-0.2,0.06,1581621588.8603268
-0.1,0.06,1581621588.925087
-0.2,0.06,1581621588.990844
-0.2,0.06,1581621589.0574977
-0.2,0.06,1581621589.1224203
-0.2,0.06,1581621589.1883004
-0.2,0.06,1581621589.254278
-0.1,0.06,1581621589.3194897
-0.2,0.06,1581621589.3854835
-0.2,0.06,1581621589.4514837
-0.1,0.06,1581621589.5168202
-0.2,0.06,1581621589.5825648
-0.2,0.06,1581621589.6484578
-0.2,0.06,1581621589.7147233
-0.2,0.06,1581621589.7799003
-0.2,0.06,1581621589.8457985
-0.2,0.06,1581621589.9117239
-0.2,0.06,1581621589.9777665
-0.2,0.06,1581621590.0431943
-0.2,0.06,1581621590.1089277
