mA,V,time
-0.2,0.06,1581630897.0376122
-0.1,0.06,1581630897.103605
-0.1,0.06,1581630897.1693742
-0.2,0.06,1581630897.2349896
-0.1,0.06,1581630897.3008206
-0.2,0.06,1581630897.3664546
-0.2,0.06,1581630897.4323318
-0.2,0.06,1581630897.497876
-0.2,0.06,1581630897.5639193
-0.2,0.06,1581630897.6291347
-0.2,0.06,1581630897.6952922
-0.2,0.06,1581630897.761075
-0.1,0.06,1581630897.826597
-0.2,0.06,1581630897.8924477
-0.2,0.06,1581630897.9578848
-0.1,0.06,1581630898.0253613
-0.2,0.06,1581630898.0920627
-0.2,0.06,1581630898.157864
-0.2,0.06,1581630898.2235425
-0.2,0.06,1581630898.2884798
-0.2,0.06,1581630898.3541605
-0.2,0.06,1581630898.419761
-0.2,0.06,1581630898.485595
-0.2,0.06,1581630898.5518076
-0.2,0.06,1581630898.6174877
-0.2,0.06,1581630898.6829531
-0.2,0.06,1581630898.7492807
-0.2,0.06,1581630898.815023
-0.2,0.06,1581630898.8805556
-0.2,0.06,1581630898.9463563
-0.1,0.06,1581630899.0113127
-0.1,0.06,1581630899.0771892
-0.2,0.06,1581630899.1431437
-0.1,0.06,1581630899.2091484
-0.2,0.06,1581630899.2747376
-0.2,0.06,1581630899.3405442
-0.2,0.06,1581630899.406283
-0.1,0.06,1581630899.4724627
-0.2,0.06,1581630899.5381112
-0.1,0.06,1581630899.603841
-0.2,0.06,1581630899.6693757
-0.2,0.06,1581630899.7349205
-0.1,0.06,1581630899.800731
-0.2,0.06,1581630899.8663604
-0.2,0.06,1581630899.9316447
-0.2,0.06,1581630899.9975412
-0.1,0.06,1581630900.0631735
-0.2,0.06,1581630900.1298063
-0.2,0.06,1581630900.1950881
-0.2,0.06,1581630900.2605903
-0.1,0.06,1581630900.3263254
-0.2,0.06,1581630900.3926022
-0.2,0.06,1581630900.458257
-0.2,0.06,1581630900.5241685
-0.1,0.06,1581630900.589758
-0.2,0.06,1581630900.65513
-0.2,0.06,1581630900.720857
-0.1,0.06,1581630900.786673
-0.2,0.06,1581630900.852208
-0.2,0.06,1581630900.9186242
-0.2,0.06,1581630900.9842255
-0.2,0.06,1581630901.0492573
-0.2,0.06,1581630901.1147256
-0.2,0.06,1581630901.181421
-0.2,0.06,1581630901.2471924
-0.2,0.06,1581630901.3118503
-0.2,0.06,1581630901.3783638
-0.2,0.06,1581630901.4441838
-0.2,0.06,1581630901.5098023
-0.2,0.06,1581630901.5762222
-0.2,0.06,1581630901.6408489
-0.2,0.06,1581630901.706793
-0.1,0.06,1581630901.7722623
-0.1,0.06,1581630901.8386319
-0.2,0.06,1581630901.9042783
-0.2,0.06,1581630901.9702134
