mA,V,time
-0.1,0.06,1581630978.9454055
-0.1,0.06,1581630979.0023224
-0.2,0.06,1581630979.068152
-0.2,0.06,1581630979.1338487
-0.2,0.06,1581630979.1996353
-0.2,0.06,1581630979.266409
-0.2,0.06,1581630979.3324804
-0.2,0.06,1581630979.3985648
-0.2,0.06,1581630979.4650416
-0.1,0.06,1581630979.5311525
-0.1,0.06,1581630979.5959713
-0.2,0.06,1581630979.6624897
-0.2,0.06,1581630979.72721
-0.2,0.06,1581630979.7933018
-0.2,0.06,1581630979.8590703
-0.2,0.06,1581630979.924643
-0.2,0.06,1581630979.9911363
-0.2,0.06,1581630980.056517
-0.1,0.06,1581630980.122682
-0.2,0.06,1581630980.187388
-0.2,0.06,1581630980.253272
-0.2,0.06,1581630980.3191028
-0.1,0.06,1581630980.3846626
-0.2,0.06,1581630980.4515681
-0.2,0.06,1581630980.516268
-0.2,0.06,1581630980.5820427
-0.1,0.06,1581630980.6480246
-0.1,0.06,1581630980.7141373
-0.2,0.06,1581630980.7795444
-0.2,0.06,1581630980.8453875
-0.2,0.06,1581630980.9106596
-0.2,0.06,1581630980.976828
-0.2,0.06,1581630981.0422328
-0.2,0.06,1581630981.1081302
-0.1,0.06,1581630981.174008
-0.2,0.06,1581630981.2394695
-0.2,0.06,1581630981.3055775
-0.1,0.06,1581630981.371478
-0.2,0.06,1581630981.4369426
-0.2,0.06,1581630981.5022535
-0.2,0.06,1581630981.5680823
-0.2,0.06,1581630981.6336865
-0.2,0.06,1581630981.6998742
-0.2,0.06,1581630981.7657363
-0.2,0.06,1581630981.8310885
-0.2,0.06,1581630981.8966956
-0.2,0.06,1581630981.963103
-0.2,0.06,1581630982.0286686
-0.2,0.06,1581630982.094402
-0.1,0.06,1581630982.159531
-0.2,0.06,1581630982.226089
-0.2,0.06,1581630982.2916892
-0.2,0.06,1581630982.356976
-0.2,0.06,1581630982.4229314
-0.2,0.06,1581630982.487856
-0.2,0.06,1581630982.5545444
-0.1,0.06,1581630982.6200776
-0.2,0.06,1581630982.685998
-0.2,0.06,1581630982.7518353
-0.1,0.06,1581630982.8167856
-0.1,0.06,1581630982.883885
-0.2,0.06,1581630982.9482794
-0.1,0.06,1581630983.0141618
-0.1,0.06,1581630983.0804296
-0.2,0.06,1581630983.1458302
-0.2,0.06,1581630983.2109416
-0.2,0.06,1581630983.2768624
-0.2,0.06,1581630983.3426793
-0.2,0.06,1581630983.4091868
-0.2,0.06,1581630983.4742332
-0.1,0.06,1581630983.5407443
-0.2,0.06,1581630983.6054225
-0.2,0.06,1581630983.671416
-0.2,0.06,1581630983.7374265
-0.2,0.06,1581630983.802854
-0.2,0.06,1581630983.8692646
-0.2,0.06,1581630983.9341328
