task,time
start v1 0,1581627199.3266618
click,1581627218.493588
click,1581627221.5031676
click,1581627222.7570636
click,1581627224.062876
stop v1 0,1581627230.0459325
start v2 0,1581627260.0803258
click,1581627270.5516198
click,1581627271.701691
click,1581627272.725769
click,1581627273.7023487
click,1581627274.6561868
click,1581627275.5857165
stop v2 0,1581627279.1478062
