mA,V,time
-0.1,0.06,1581630786.8761573
-0.2,0.06,1581630786.941906
-0.1,0.06,1581630787.0075912
-0.1,0.06,1581630787.0733798
-0.2,0.06,1581630787.1388955
-0.1,0.06,1581630787.2056851
-0.2,0.06,1581630787.2715025
-0.2,0.06,1581630787.3379014
-0.2,0.06,1581630787.4042065
-0.2,0.06,1581630787.4698093
-0.2,0.06,1581630787.5356164
-0.1,0.06,1581630787.601402
-0.2,0.06,1581630787.666708
-0.2,0.06,1581630787.7324827
-0.1,0.06,1581630787.7983303
-0.2,0.06,1581630787.8636706
-0.1,0.06,1581630787.929555
-0.2,0.06,1581630787.995375
-0.2,0.06,1581630788.0609481
-0.1,0.06,1581630788.1272385
-0.2,0.06,1581630788.193289
-0.2,0.06,1581630788.258962
-0.2,0.06,1581630788.325319
-0.2,0.06,1581630788.3899004
-0.2,0.06,1581630788.4556844
-0.2,0.06,1581630788.5215018
-0.2,0.06,1581630788.5867574
-0.2,0.06,1581630788.6525714
-0.2,0.06,1581630788.7185225
-0.2,0.06,1581630788.7844841
-0.2,0.06,1581630788.8498318
-0.2,0.06,1581630788.9156764
-0.2,0.06,1581630788.9813867
-0.2,0.06,1581630789.046628
-0.2,0.06,1581630789.1127558
-0.2,0.06,1581630789.1786268
-0.2,0.06,1581630789.2445018
-0.1,0.06,1581630789.3097706
-0.2,0.06,1581630789.3757377
-0.1,0.06,1581630789.4413817
-0.2,0.06,1581630789.5072074
-0.2,0.06,1581630789.5724945
-0.2,0.06,1581630789.6383243
-0.1,0.06,1581630789.7046137
-0.2,0.06,1581630789.769855
-0.2,0.06,1581630789.835713
-0.2,0.06,1581630789.9014583
-0.2,0.06,1581630789.9675364
-0.2,0.06,1581630790.0326684
-0.2,0.06,1581630790.0985403
-0.2,0.06,1581630790.1643276
-0.2,0.06,1581630790.230752
-0.1,0.06,1581630790.295626
-0.1,0.06,1581630790.3613698
-0.1,0.06,1581630790.4271846
-0.1,0.06,1581630790.4934561
-0.2,0.06,1581630790.559496
-0.1,0.06,1581630790.6252549
-0.1,0.06,1581630790.6909184
-0.1,0.06,1581630790.756066
-0.1,0.06,1581630790.8219264
-0.2,0.06,1581630790.8876367
-0.2,0.06,1581630790.9528792
-0.2,0.06,1581630791.018746
-0.2,0.06,1581630791.0845425
-0.2,0.06,1581630791.1505377
-0.1,0.06,1581630791.215994
-0.1,0.06,1581630791.2817795
-0.1,0.06,1581630791.3479562
-0.1,0.06,1581630791.4129426
-0.2,0.06,1581630791.4793756
-0.1,0.06,1581630791.545231
-0.2,0.06,1581630791.6109347
-0.2,0.06,1581630791.6762664
-0.1,0.06,1581630791.742232
-0.2,0.06,1581630791.808009
