mA,V,time
-0.2,0.06,1581631232.9841025
-0.2,0.06,1581631233.0499256
-0.2,0.06,1581631233.115342
-0.1,0.06,1581631233.1811352
-0.1,0.06,1581631233.2472239
-0.2,0.06,1581631233.3135538
-0.2,0.06,1581631233.3793166
-0.2,0.06,1581631233.4462194
-0.2,0.06,1581631233.5121865
-0.2,0.06,1581631233.57798
-0.1,0.06,1581631233.64383
-0.1,0.06,1581631233.7091863
-0.1,0.06,1581631233.7750545
-0.1,0.06,1581631233.840921
-0.1,0.06,1581631233.9062219
-0.1,0.06,1581631233.9718795
-0.2,0.06,1581631234.0376918
-0.2,0.06,1581631234.1035647
-0.1,0.06,1581631234.1698284
-0.2,0.06,1581631234.235751
-0.2,0.06,1581631234.301443
-0.1,0.06,1581631234.3662193
-0.2,0.06,1581631234.4321058
-0.2,0.06,1581631234.4978797
-0.1,0.06,1581631234.5637355
-0.2,0.06,1581631234.6290638
-0.2,0.06,1581631234.6951745
-0.2,0.06,1581631234.7610147
-0.1,0.06,1581631234.8269017
-0.2,0.06,1581631234.892046
-0.2,0.06,1581631234.957938
-0.1,0.06,1581631235.023909
-0.1,0.06,1581631235.0902395
-0.2,0.06,1581631235.1550395
-0.2,0.06,1581631235.2210689
-0.2,0.06,1581631235.2870433
-0.2,0.06,1581631235.352113
-0.2,0.06,1581631235.4179943
-0.1,0.06,1581631235.4837997
-0.2,0.06,1581631235.549539
-0.2,0.06,1581631235.616101
-0.2,0.06,1581631235.6817834
-0.2,0.06,1581631235.7465243
-0.2,0.06,1581631235.8128722
-0.2,0.06,1581631235.8788116
-0.1,0.06,1581631235.9447227
-0.1,0.06,1581631236.0093536
-0.1,0.06,1581631236.0759025
-0.1,0.06,1581631236.1419039
-0.2,0.06,1581631236.207716
-0.2,0.06,1581631236.273058
-0.2,0.06,1581631236.338822
-0.1,0.06,1581631236.4047344
-0.1,0.06,1581631236.4706001
-0.1,0.06,1581631236.5357342
-0.1,0.06,1581631236.6015046
-0.2,0.06,1581631236.6672497
-0.2,0.06,1581631236.7333512
-0.2,0.06,1581631236.7984474
-0.1,0.06,1581631236.8643107
-0.1,0.06,1581631236.9302015
-0.1,0.06,1581631236.9955728
-0.2,0.06,1581631237.0615559
-0.1,0.06,1581631237.1274767
-0.2,0.06,1581631237.1933284
-0.2,0.06,1581631237.2586281
-0.2,0.06,1581631237.3246763
-0.1,0.06,1581631237.3904471
-0.2,0.06,1581631237.4563596
-0.2,0.06,1581631237.521393
-0.2,0.06,1581631237.587581
-0.1,0.06,1581631237.6534162
-0.2,0.06,1581631237.7186768
-0.2,0.06,1581631237.7844734
-0.2,0.06,1581631237.8502607
-0.1,0.06,1581631237.9162831
