mA,V,time
470.20000000000005,4.872,1581369374.868442
469.3,4.872,1581369374.9343693
469.6,4.872,1581369374.999836
469.40000000000003,4.872,1581369375.0654948
469.40000000000003,4.872,1581369375.1313026
469.3,4.872,1581369375.1974308
469.20000000000005,4.872,1581369375.2630224
469.40000000000003,4.872,1581369375.329644
469.5,4.872,1581369375.3962305
510.1,4.872,1581369375.461081
504.70000000000005,4.872,1581369375.5277193
469.8,4.872,1581369375.593601
469.6,4.872,1581369375.6598082
469.8,4.872,1581369375.7257836
469.70000000000005,4.872,1581369375.7914279
469.5,4.872,1581369375.8567636
469.6,4.872,1581369375.9226255
469.1,4.872,1581369375.9886653
469.3,4.872,1581369376.0544527
468.6,4.872,1581369376.1198559
469.40000000000003,4.872,1581369376.1859918
469.5,4.872,1581369376.2496607
470.1,4.872,1581369376.3152735
469.70000000000005,4.872,1581369376.3811257
469.5,4.872,1581369376.4469166
469.40000000000003,4.872,1581369376.5128746
468.6,4.872,1581369376.5789857
469.5,4.872,1581369376.644135
469.0,4.872,1581369376.7101853
469.3,4.872,1581369376.77567
469.1,4.872,1581369376.8414555
469.5,4.872,1581369376.9070697
468.40000000000003,4.872,1581369376.9728103
469.40000000000003,4.872,1581369377.039041
469.20000000000005,4.872,1581369377.1042235
469.6,4.872,1581369377.1706567
468.6,4.872,1581369377.2365022
469.70000000000005,4.872,1581369377.301385
469.70000000000005,4.872,1581369377.3675575
470.3,4.872,1581369377.4333315
469.5,4.872,1581369377.4987717
469.5,4.872,1581369377.564546
469.90000000000003,4.872,1581369377.6316311
469.3,4.872,1581369377.6976228
468.70000000000005,4.872,1581369377.7637205
469.40000000000003,4.872,1581369377.8301764
469.6,4.872,1581369377.8960497
469.5,4.872,1581369377.9619343
469.20000000000005,4.872,1581369378.0268323
469.70000000000005,4.872,1581369378.092734
469.70000000000005,4.872,1581369378.1591163
503.70000000000005,4.872,1581369378.2242794
510.8,4.872,1581369378.2900958
469.90000000000003,4.872,1581369378.3554182
469.20000000000005,4.872,1581369378.4211872
469.3,4.872,1581369378.4871824
468.70000000000005,4.872,1581369378.553687
469.20000000000005,4.872,1581369378.6192684
469.5,4.872,1581369378.6850564
469.6,4.872,1581369378.7511065
469.40000000000003,4.872,1581369378.816386
469.20000000000005,4.872,1581369378.8820815
470.0,4.872,1581369378.9478872
469.6,4.872,1581369379.0137243
469.8,4.872,1581369379.0789235
469.20000000000005,4.872,1581369379.1447368
468.90000000000003,4.872,1581369379.2103574
469.3,4.872,1581369379.2767704
469.5,4.872,1581369379.3427434
469.3,4.872,1581369379.4086955
470.0,4.872,1581369379.4735093
469.20000000000005,4.872,1581369379.53994
469.3,4.872,1581369379.6059983
468.90000000000003,4.872,1581369379.6708326
469.5,4.872,1581369379.737403
469.40000000000003,4.872,1581369379.8030338
469.20000000000005,4.872,1581369379.8689303
469.90000000000003,4.872,1581369379.9338062
492.6,4.872,1581369380.0005078
501.0,4.872,1581369380.0654123
469.20000000000005,4.872,1581369380.1311395
469.90000000000003,4.872,1581369380.1971102
469.40000000000003,4.872,1581369380.2625985
469.3,4.872,1581369380.3283875
469.5,4.872,1581369380.394458
469.70000000000005,4.872,1581369380.4592962
469.40000000000003,4.872,1581369380.525657
469.20000000000005,4.872,1581369380.5914807
